1;892425166RR0001;THE AZRIELI FOUNDATION / LA FONDATION AZRIELI;2012-12-31;Annexe 6;529605364;1057
2;118974179RR0001;JEWISH COMMUNITY FOUNDATION OF MONTREAL/LA FOUNDATION COMMUNAUTAIRE JUIVE DE MONTREAL;2013-03-31;Annexe 6;328902810;211
3;104872304RR0001;THE SIR MORTIMER B. DAVIS JEWISH GENERAL HOSPITAL FOUNDATION / FONDATION DE L'HOPITAL GENERAL JUIF SIR MORTIMER DAVIS;2013-03-31;Annexe 6;218213341;47
4;889369336RR0001;Conseil du Patrimoine Religieux du Québec / Québec ReligiousHeritage Council;2013-03-31;Annexe 6;202726908;947
5;119000537RR0001;LA FONDATION DE L'UNIVERSITE LAVAL;2013-04-30;Annexe 6;150371096;220
6;890800188RR0001;CONCORDIA UNIVERSITY FOUNDATION FONDATION DE L'UNIVERSITE CONCORDIA;2013-04-30;Annexe 6;142708209;993
7;119000974RR0001;LA FONDATION DE L'HÔPITAL GÉNÉRAL DE MONTRÉAL - THE MONTREAL GENERAL HOSPITAL FOUNDATION;2013-03-31;Annexe 6;126356215;226
8;118921659RR0001;FONDATION DE L'HÔPITAL ROYAL VICTORIA/ROYAL VICTORIA HOSPITAL FOUNDATION;2013-03-31;Annexe 6;122672370;127
9;894744036RR0001;THE JARISLOWSKY FOUNDATION/LA FONDATION JARISLOWSKY;2012-12-30;Annexe 6;115927450;1104
10;118847474RR0001;CENTRE DE SANTE ET DE SERVICES SOCIAUX DES SOMMETS;2013-03-31;Annexe 6;111387797;91
11;106702251RR0001;FEDERATION CJA;2013-03-31;Annexe 6;96856103;51
12;118921667RR0001;FONDATION CHU SAINTE-JUSTINE / SAINTE-JUSTINE UHC FOUNDATION;2013-03-31;Annexe 6;91205095;128
13;118921543RR0001;LA FONDATION DE L'HOPITAL DE MONTREAL POUR ENFANTS/THE MONTREAL CHILDREN'S HOSPITAL FOUNDATION;2013-03-31;Annexe 6;90489403;123
14;881979124RR0001;LA FONDATION DU GRAND MONTREAL/THE FOUNDATION OF GREATER MONTREAL;2012-12-31;Annexe 6;65503142;835
15;118842517RR0001;CENTRAIDE DU GRAND MONTREAL CENTRAIDE OF GREATER MONTREAL;2013-03-31;Annexe 6;59791281;90
16;888188661RR0001;"LA FONDATION DE L'UNIVERSITE DE SHERBROOKE - THE FOUNDATION OF THE ""UNIVERSITE DE SHERBROOKE""";2013-04-30;Annexe 6;55980938;907
